Participant,Mode,Route,GlobalTrial,NodeID,IsDecisionNode,EnterTime(s),LeaveTime(s),TimeSpentInNode(s)
P01,SoundOnly,T3,2,G,True,2.50,3.80,1.30
P01,SoundOnly,T3,2,F,True,4.56,5.00,0.44
P01,SoundAndVisual,T1,0,K,True,0.01,3.11,3.10
P01,SoundAndVisual,T1,0,B,True,4.51,6.09,1.58
P01,SoundOnly,T1,0,K,True,0.00,3.41,3.41
P01,SoundOnly,T1,0,B,True,4.43,5.29,0.86
P01,SoundOnly,T4,0,F,True,0.00,2.52,2.52
P01,SoundOnly,T4,0,C,True,4.24,5.12,0.88
P01,SoundOnly,T4,0,B,True,5.88,6.48,0.60
P01,SoundOnly,T4,0,K,True,7.52,8.54,1.02
P01,SoundOnly,T4,0,B,True,9.62,10.14,0.52
P01,SoundAndVisual,T3,0,L,True,0.00,2.37,2.37
P01,SoundAndVisual,T3,0,G,True,3.93,5.91,1.98
P01,SoundAndVisual,T3,0,F,True,7.79,8.43,0.64
P01,SoundAndVisual,T3,0,I,True,9.31,10.05,0.74
P01,SoundAndVisual,T3,0,H,True,10.97,12.01,1.04
P01,SoundAndVisual,T3,0,L,True,0.00,5.68,5.68
P01,SoundAndVisual,T3,0,G,True,7.39,9.05,1.66
P01,SoundAndVisual,T3,0,F,True,10.46,11.37,0.92
P01,SoundAndVisual,T3,0,I,True,12.79,14.98,2.18
P01,SoundAndVisual,T3,0,H,True,15.69,18.87,3.18
P01,SoundAndVisual,T3,0,B,True,19.83,22.61,2.78
P01,SoundAndVisual,T4,0,F,True,0.00,6.15,6.15
P01,SoundAndVisual,T4,0,G,True,9.63,10.65,1.02
P01,SoundAndVisual,T4,0,J,True,12.03,13.55,1.52
P01,SoundAndVisual,T4,0,D,True,14.35,16.39,2.04
P01,SoundAndVisual,T4,0,D,True,17.11,18.33,1.22
P01,SoundAndVisual,T4,0,D,True,20.65,21.55,0.90
P01,SoundAndVisual,T4,0,D,True,24.09,24.45,0.36
P01,SoundAndVisual,T4,0,J,True,25.17,25.89,0.72
P01,SoundAndVisual,T4,0,G,True,26.95,27.81,0.86
P01,SoundAndVisual,T4,0,G,True,29.59,30.17,0.58
P01,SoundAndVisual,T1,0,K,True,0.00,4.57,4.57
P01,SoundAndVisual,T2,0,B,True,0.00,4.86,4.86
P01,SoundAndVisual,T2,0,K,True,6.30,6.54,0.24
P01,SoundAndVisual,T2,0,B,True,7.76,8.54,0.78
P01,SoundAndVisual,T2,0,A,True,9.18,10.24,1.06
P01,SoundAndVisual,T2,0,B,True,12.50,14.06,1.56
P01,SoundAndVisual,T2,0,H,True,14.68,15.50,0.82
P01,SoundAndVisual,T2,0,I,True,16.16,17.04,0.88
P01,SoundAndVisual,T2,0,F,True,17.96,19.58,1.62
P01,SoundAndVisual,T2,0,C,True,21.42,23.44,2.02
P01,SoundAndVisual,T2,0,D,True,25.06,26.22,1.16
P01,SoundAndVisual,T2,0,D,True,27.74,28.24,0.50
P01,SoundAndVisual,T2,0,J,True,29.44,30.06,0.62
P01,SoundAndVisual,T2,0,G,True,33.30,34.36,1.06
P01,SoundAndVisual,T3,0,L,True,0.00,2.38,2.38
P01,SoundAndVisual,T3,0,L,True,2.81,5.12,2.30
P01,SoundAndVisual,T3,0,L,True,5.69,6.82,1.12
P01,SoundAndVisual,T3,0,L,True,7.57,8.53,0.96
P01,SoundAndVisual,T2,0,B,True,0.00,3.67,3.67
P01,SoundAndVisual,T2,0,H,True,4.47,5.55,1.08
P01,SoundAndVisual,T2,0,I,True,6.41,7.27,0.86
P01,SoundAndVisual,T2,0,F,True,8.15,8.73,0.58
P01,SoundAndVisual,T2,0,G,True,9.49,10.01,0.52
P01,SoundAndVisual,T2,0,G,True,12.83,13.83,1.00
P01,SoundAndVisual,T2,0,J,True,14.93,15.55,0.62
P01,SoundAndVisual,T2,0,D,True,18.63,19.11,0.48
P01,SoundAndVisual,T2,0,C,True,19.87,20.39,0.52
P01,SoundAndVisual,T2,0,F,True,22.11,23.09,0.98
P01,SoundAndVisual,T2,0,I,True,23.97,24.53,0.56
P01,SoundAndVisual,T2,0,H,True,25.25,25.85,0.60
P01,SoundAndVisual,T2,0,B,True,26.49,27.09,0.60
P01,SoundAndVisual,T2,0,A,True,27.75,28.87,1.12
P01,SoundAndVisual,T2,0,B,True,29.53,29.99,0.46
P01,SoundAndVisual,T2,0,C,True,30.67,31.25,0.58
P01,SoundAndVisual,T2,0,D,True,32.01,33.43,1.42
P01,SoundAndVisual,T2,0,J,True,34.07,35.05,0.98
P01,SoundAndVisual,T2,0,G,True,36.63,37.63,1.00
P01,SoundAndVisual,T2,0,L,True,38.63,39.87,1.24
P01,SoundAndVisual,T2,0,G,True,41.01,42.03,1.03
P01,SoundAndVisual,T2,0,F,True,42.91,43.49,0.58
P01,SoundAndVisual,T2,0,B,True,0.00,2.66,2.66
P01,SoundAndVisual,T2,0,A,True,3.56,4.86,1.30
P01,SoundAndVisual,T2,0,B,True,5.78,6.88,1.10
P01,SoundAndVisual,T2,0,C,True,7.88,8.78,0.90
P01,SoundAndVisual,T2,0,D,True,9.92,10.70,0.78
P01,SoundAndVisual,T2,0,J,True,11.66,12.68,1.02
P01,SoundAndVisual,T2,0,G,True,14.28,18.22,3.94
P01,SoundAndVisual,T1,0,K,True,0.00,3.39,3.39
P01,SoundAndVisual,T1,0,B,True,5.53,6.83,1.30
P01,SoundAndVisual,T1,0,H,True,8.03,8.97,0.94
P01,SoundAndVisual,T1,0,I,True,10.03,11.23,1.20
P01,SoundAndVisual,T1,0,F,True,12.57,13.21,0.64
P01,SoundAndVisual,T1,0,C,True,15.75,18.11,2.36
P01,SoundAndVisual,T1,0,F,True,20.83,21.57,0.74
